"Label (Grouping)","United States"
"Total:","331,449,281"
"    Population of one race:","297,600,338"
"        White alone","204,277,273"
"        Black or African American alone","41,104,200"
"        American Indian and Alaska Native alone","3,727,135"
"        Asian alone","19,886,049"
"        Native Hawaiian and Other Pacific Islander alone","689,966"
"        Some Other Race alone","27,915,715"
"    Population of two or more races:","33,848,943"
"        Population of two races:","31,890,339"
"            White; Black or African American","3,070,341"
"            White; American Indian and Alaska Native","3,968,096"
"            White; Asian","2,691,465"
"            White; Native Hawaiian and Other Pacific Islander","222,433"
"            White; Some Other Race","19,315,952"
"            Black or African American; American Indian and Alaska Native","392,853"
"            Black or African American; Asian","243,711"
"            Black or African American; Native Hawaiian and Other Pacific Islander","45,622"
"            Black or African American; Some Other Race","1,036,954"
"            American Indian and Alaska Native; Asian","51,011"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","11,811"
"            American Indian and Alaska Native; Some Other Race","381,361"
"            Asian; Native Hawaiian and Other Pacific Islander","219,347"
"            Asian; Some Other Race","187,918"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","51,464"
"        Population of three races:","1,737,832"
"            White; Black or African American; American Indian and Alaska Native","384,010"
"            White; Black or African American; Asian","121,221"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","16,985"
"            White; Black or African American; Some Other Race","270,044"
"            White; American Indian and Alaska Native; Asian","93,952"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","15,677"
"            White; American Indian and Alaska Native; Some Other Race","402,197"
"            White; Asian; Native Hawaiian and Other Pacific Islander","206,093"
"            White; Asian; Some Other Race","126,314"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","14,222"
"            Black or African American; American Indian and Alaska Native; Asian","12,538"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","3,083"
"            Black or African American; American Indian and Alaska Native; Some Other Race","27,485"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","11,674"
"            Black or African American; Asian; Some Other Race","13,615"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","3,234"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","4,008"
"            American Indian and Alaska Native; Asian; Some Other Race","4,058"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,205"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","6,217"
"        Population of four races:","196,582"
"            White; Black or African American; American Indian and Alaska Native; Asian","33,171"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","5,499"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","88,964"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","9,580"
"            White; Black or African American; Asian; Some Other Race","12,907"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1,619"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","17,723"
"            White; American Indian and Alaska Native; Asian; Some Other Race","11,793"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,385"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","8,846"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1,586"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1,374"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","361"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,221"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","553"
"        Population of five races:","21,685"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","8,632"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","9,141"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","1,137"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,021"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1,309"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","445"
"        Population of six races:","2,505"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2,505"
